user_id,monthly_income,monthly_outcome,class,active_loans_interval_0,sum_loans_interval_0,delinquencies_interval_0,delinq_sum_interval_0,active_loans_interval_1,sum_loans_interval_1,delinquencies_interval_1,delinq_sum_interval_1,active_loans_interval_2,sum_loans_interval_2,delinquencies_interval_2,delinq_sum_interval_2,active_loans_interval_3,sum_loans_interval_3,delinquencies_interval_3,delinq_sum_interval_3,active_loans_interval_4,sum_loans_interval_4,delinquencies_interval_4,delinq_sum_interval_4,active_loans_interval_5,sum_loans_interval_5,delinquencies_interval_5,delinq_sum_interval_5,active_loans_interval_6,sum_loans_interval_6,delinquencies_interval_6,delinq_sum_interval_6,active_loans_interval_7,sum_loans_interval_7,delinquencies_interval_7,delinq_sum_interval_7,tenure,longest_duration,preferred_institution,preferred_account_type,preferred_credit_type,preferred_payment_freq
10,22972,81561,1,10,301930.0,0,0.0,10,301930.0,0,0.0,10,301930.0,0,0.0,10,301930.0,0,0.0,11,301930.0,0,0.0,7,5192.0,0,0.0,7,5192.0,1,998319.5625,11,5192.0,0,0.0,4120,30.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
11,57502,135432,1,9,338746.0,0,0.0,9,338746.0,0,0.0,9,338746.0,0,0.0,9,338746.0,0,0.0,9,338746.0,0,0.0,8,338746.0,0,0.0,8,264588.0,0,0.0,8,247605.0,0,0.0,1774,120.0,BANCO,Revolvente,Línea de Crédito,Mensual
12,22811,2830,1,4,1328.0,0,0.0,4,1328.0,0,0.0,4,1328.0,0,0.0,5,1328.0,0,0.0,6,1328.0,0,0.0,5,1328.0,0,0.0,3,0.0,1,1540.0,2,0.0,0,0.0,815,52.0,FINANCIERA,Pagos Fijos,Préstamo Garantizado,Mensual
13,5917,45181,1,7,542369.0,0,0.0,8,542369.0,0,0.0,8,542369.0,0,0.0,8,542369.0,1,33237.75,8,542369.0,0,0.0,10,483906.0,0,0.0,14,483906.0,0,0.0,21,215167.0,0,0.0,6298,360.0,BANCO,Pagos Fijos,Tarjeta de Crédito,Mensual
14,218985,96068,0,4,92242.0,0,0.0,4,92242.0,0,0.0,4,92242.0,0,0.0,4,92242.0,0,0.0,4,92242.0,0,0.0,4,92242.0,0,0.0,4,92242.0,1,14852921.6875,7,151675.0,0,0.0,2375,90.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
15,250,822,0,4,9372.0,0,0.0,4,9372.0,0,0.0,4,9372.0,0,0.0,4,9372.0,0,0.0,5,14027.0,3,7774468.0,5,14027.0,1,672273.0625,7,14027.0,0,0.0,5,11481.0,0,0.0,2466,12.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
16,2503,3480,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,2467,0.0,TIENDAS,Revolvente,Línea de Crédito,Mensual
17,3337,1596,0,6,267619.0,0,0.0,6,267619.0,0,0.0,6,267619.0,0,0.0,6,267619.0,0,0.0,7,267619.0,0,0.0,7,267619.0,0,0.0,6,217740.0,0,0.0,9,217740.0,0,0.0,3396,59.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
18,9,285,0,7,659577.0,0,0.0,7,659577.0,0,0.0,7,659577.0,0,0.0,7,659577.0,0,0.0,7,659577.0,0,0.0,6,656581.0,0,0.0,6,656581.0,0,0.0,10,656581.0,0,0.0,2215,360.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
19,11675,385,0,6,16616.0,0,0.0,6,16616.0,0,0.0,6,16616.0,0,0.0,6,16616.0,1,42460.3125,6,11034.0,0,0.0,7,11034.0,3,3329710.3125,8,11034.0,0,0.0,13,11034.0,0,0.0,3619,36.0,TIENDAS,Sin Límite Preestablecido,Línea de Crédito,Mensual
20,327789,560649,0,4,32982.0,0,0.0,4,32982.0,0,0.0,4,32982.0,0,0.0,4,32982.0,2,4356915.0625,5,32982.0,0,0.0,5,32982.0,0,0.0,4,29695.0,0,0.0,4,29695.0,1,8021377.0,4501,1.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
21,4343,10056,1,5,24830.0,0,0.0,5,24830.0,0,0.0,5,24830.0,0,0.0,5,24830.0,0,0.0,6,24830.0,1,15694.0,7,18070.0,1,30849.0,8,18070.0,2,177436.0,21,9951.0,6,31311.0,3978,70.0,FINANCIERA,Pagos Fijos,Grupo Solidario,Semanal
22,31440,47243,1,4,75216.0,0,0.0,4,75216.0,0,0.0,4,75216.0,0,0.0,4,75216.0,0,0.0,6,75216.0,0,0.0,6,75216.0,0,0.0,8,75216.0,0,0.0,11,75216.0,2,636143.75,3082,48.0,FINANCIERA,Pagos Fijos,Línea de Crédito,Mensual
23,76091,42473,0,16,205871.0,0,0.0,16,205871.0,0,0.0,16,205871.0,0,0.0,16,205871.0,0,0.0,16,205871.0,0,0.0,17,205871.0,3,4041582.5625,17,182702.0,0,0.0,23,182702.0,9,17512451.3125,2780,120.0,TIENDAS,Pagos Fijos,Préstamo Personal ,Mensual
24,60610,8667,1,4,10920.0,0,0.0,4,10920.0,0,0.0,4,10920.0,0,0.0,4,10920.0,0,0.0,5,10920.0,0,0.0,5,10920.0,0,0.0,4,0.0,0,0.0,20,0.0,0,0.0,6613,900.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
25,2772,70652,1,1,200792.0,0,0.0,1,200792.0,0,0.0,1,200792.0,0,0.0,1,200792.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,155,60.0,CAJAS DE AHORRO,Pagos Fijos,Compra de Automóvil,Mensual
26,5629,38947,1,1,441894.0,0,0.0,1,441894.0,0,0.0,1,441894.0,0,0.0,1,441894.0,0,0.0,1,441894.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,307,48.0,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,Mensual
27,159955,102015,1,20,225038.0,0,0.0,20,225038.0,0,0.0,20,225038.0,0,0.0,20,225038.0,0,0.0,22,225038.0,0,0.0,21,136741.0,0,0.0,16,119639.0,0,0.0,20,119637.0,0,0.0,7276,48.0,BANCO,Revolvente,Línea de Crédito,Mensual
28,67183,933,0,1,197.0,0,0.0,1,197.0,0,0.0,1,197.0,0,0.0,1,197.0,0,0.0,1,197.0,0,0.0,1,197.0,0,0.0,1,197.0,0,0.0,1,197.0,0,0.0,1199,0.0,COMUNICACIONES,Revolvente,Línea de Crédito,Mensual
29,47209,25331,1,3,3609.0,0,0.0,3,3609.0,0,0.0,3,3609.0,0,0.0,3,3609.0,0,0.0,3,3609.0,0,0.0,3,3609.0,0,0.0,3,3609.0,0,0.0,3,3609.0,0,0.0,3496,0.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
30,44181,51396,0,4,106926.0,0,0.0,4,106926.0,0,0.0,4,106926.0,0,0.0,4,106926.0,0,0.0,4,106926.0,0,0.0,5,106926.0,2,793657.0,5,106926.0,0,0.0,5,81613.0,1,2107.0,4557,24.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
31,5220,3972,1,8,75579.0,0,0.0,8,75579.0,0,0.0,8,75579.0,0,0.0,9,75579.0,0,0.0,10,75579.0,1,13544.6875,12,75579.0,0,0.0,12,23475.0,0,0.0,13,0.0,1,625551.5,2375,72.0,BANCO,Revolvente,Línea de Crédito,Mensual
32,174710,266500,1,26,333492.0,0,0.0,26,333492.0,0,0.0,26,333492.0,0,0.0,26,333492.0,0,0.0,26,333492.0,1,3882790.125,29,333492.0,1,46005.0,27,303122.0,0,0.0,33,247535.0,2,5313291.75,5101,53.0,KONFIO,Pagos Fijos,Línea de Crédito,Mensual
33,39878,81792,1,4,275003.0,0,0.0,4,275003.0,0,0.0,4,275003.0,0,0.0,4,275003.0,0,0.0,5,275003.0,1,84378.0,5,275003.0,0,0.0,2,0.0,0,0.0,2,0.0,1,51469.8125,1907,128.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
34,2167,4885,0,8,94001.0,0,0.0,8,94001.0,0,0.0,8,94001.0,0,0.0,8,94001.0,0,0.0,8,94001.0,0,0.0,9,94001.0,3,2817173.25,8,89075.0,1,530200.0,13,113777.0,2,8383431.0625,2947,90.0,TIENDAS,Pagos Fijos,Línea de Crédito,Mensual
35,1553,5590,1,4,37138.0,0,0.0,4,37138.0,0,0.0,4,37138.0,0,0.0,4,37138.0,0,0.0,8,37138.0,0,0.0,9,37138.0,0,0.0,10,37138.0,0,0.0,20,37138.0,2,334812.5,8888,36.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
36,23603,25063,1,1,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,4287,60.0,AUTOMOTRIZ,Pagos Fijos,Arrendamiento Automotriz,Mensual
37,577788,563775,1,6,399934.0,0,0.0,6,399934.0,0,0.0,6,399934.0,0,0.0,6,399934.0,0,0.0,6,399934.0,0,0.0,7,399934.0,0,0.0,7,399934.0,0,0.0,8,399934.0,0,0.0,5035,360.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
38,7799,14419,1,8,736612.0,0,0.0,8,736612.0,0,0.0,11,850197.0,0,0.0,8,831108.0,2,145576.375,10,831108.0,0,0.0,12,831108.0,0,0.0,8,348020.0,0,0.0,10,66775.0,0,0.0,24898,360.0,GOBIERNO,Pagos Fijos,Préstamo Personal ,Mensual
39,2205,4462,1,3,9826.0,0,0.0,3,9826.0,0,0.0,3,9826.0,0,0.0,3,9826.0,0,0.0,3,9826.0,0,0.0,3,9826.0,0,0.0,3,9826.0,0,0.0,6,29284.0,0,0.0,1899,0.0,BANCO,Sin Límite Preestablecido,Línea de Crédito,Mensual
40,9193,57064,1,6,341076.0,0,0.0,6,341076.0,0,0.0,6,341076.0,0,0.0,6,341076.0,0,0.0,6,341076.0,1,0.0,5,0.0,1,0.0,4,0.0,0,0.0,10,67768.0,0,0.0,9399,150.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
41,7143,12,0,18,223172.0,0,0.0,18,223172.0,0,0.0,18,223172.0,0,0.0,18,223172.0,0,0.0,18,223172.0,0,0.0,18,223172.0,0,0.0,18,223172.0,2,87800560.375,18,223172.0,0,0.0,5942,65.0,TIENDAS,Pagos Fijos,Préstamo Personal ,Semanal
42,213,142,0,9,48964.0,0,0.0,9,48964.0,0,0.0,9,48964.0,0,0.0,9,48964.0,0,0.0,9,48964.0,0,0.0,7,40918.0,0,0.0,7,40918.0,1,2116136.75,7,40918.0,4,12690347.625,3076,24.0,GOBIERNO,Pagos Fijos,Crédito Fiscal,Mensual
43,59475,46927,1,4,37548.0,0,0.0,4,37548.0,0,0.0,4,37548.0,0,0.0,4,37548.0,0,0.0,4,37548.0,0,0.0,6,37548.0,0,0.0,6,37548.0,0,0.0,11,14452.0,1,28124.25,3148,72.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
44,34217,25865,0,8,114999.0,0,0.0,8,114999.0,0,0.0,8,114999.0,0,0.0,8,114999.0,0,0.0,9,114999.0,1,910.0,10,102901.0,3,68616.0,9,102901.0,1,25902.3125,11,99893.0,2,7308.0,3325,104.0,TIENDAS,Pagos Fijos,Préstamo Personal ,Mensual
45,40153,65502,1,17,64935.0,0,0.0,17,64935.0,0,0.0,17,64935.0,0,0.0,17,64935.0,0,0.0,20,64935.0,0,0.0,17,46163.0,0,0.0,17,19176.0,0,0.0,21,16753.0,2,103457.0625,2498,36.0,TIENDAS,Pagos Fijos,Aparatos - Muebles,Mensual
46,1865,3124,0,12,229463.0,0,0.0,12,229463.0,0,0.0,12,229463.0,0,0.0,27,229463.0,0,0.0,50,229463.0,0,0.0,48,168209.0,0,0.0,37,168209.0,1,2343180.0,87,168209.0,8,29943031.875,14031,208.0,BIENES RAICES,Crédito Prendario,Préstamo Personal ,Semanal
47,1325605,737374,1,14,455556.0,0,0.0,14,455556.0,0,0.0,14,455556.0,0,0.0,14,455556.0,0,0.0,14,455556.0,0,0.0,14,455556.0,0,0.0,13,455556.0,0,0.0,15,454994.0,0,0.0,5391,360.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
48,8203,3795,1,14,332143.0,0,0.0,14,332143.0,0,0.0,14,332143.0,0,0.0,15,332143.0,0,0.0,17,332143.0,0,0.0,16,319132.0,0,0.0,15,274304.0,0,0.0,27,274304.0,0,0.0,5751,360.0,FONDOS Y FIDEICOMISOS,Pagos Fijos,Préstamo Personal ,Mensual
49,946423,57722,1,1,52950.0,0,0.0,1,52950.0,0,0.0,1,52950.0,0,0.0,1,52950.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,103,0.0,SERVICIOS,Revolvente,Desconocido,Mensual
50,70259,99790,0,5,19013.0,1,1482201.0,5,13010.0,1,2748951855.0,5,13010.0,0,0.0,7,13010.0,0,0.0,11,13010.0,0,0.0,10,13010.0,0,0.0,11,13010.0,0,0.0,25,13010.0,0,0.0,3677,102.0,TIENDAS,Crédito Prendario,Préstamo Personal ,Semanal
51,35743,14670,1,5,148868.0,0,0.0,5,148868.0,0,0.0,5,148868.0,0,0.0,5,148868.0,0,0.0,5,148868.0,0,0.0,5,148868.0,0,0.0,4,93024.0,0,0.0,4,93024.0,0,0.0,3711,0.0,BANCO,Revolvente,Línea de Crédito,Mensual
52,2874,2892,0,4,85113.0,0,0.0,4,85113.0,0,0.0,4,85113.0,0,0.0,4,85113.0,0,0.0,4,85113.0,1,315393.375,4,85113.0,0,0.0,4,85113.0,0,0.0,6,99781.0,2,78874676.75,2720,120.0,BANCO,Pagos Fijos,Línea de Crédito,Mensual
53,23521,116104,1,5,340344.0,0,0.0,5,340344.0,0,0.0,5,340344.0,0,0.0,6,340344.0,0,0.0,7,340344.0,0,0.0,5,43072.0,0,0.0,3,20183.0,0,0.0,4,20183.0,1,84859.75,2433,53.0,BANCO,Sin Límite Preestablecido,Tarjeta de Crédito,Mensual
54,20808,14300,1,11,205566.0,0,0.0,11,205566.0,0,0.0,11,205566.0,0,0.0,11,205566.0,0,0.0,11,205566.0,0,0.0,11,205566.0,0,0.0,11,205566.0,0,0.0,10,200400.0,0,0.0,5208,360.0,BANCO,Sin Límite Preestablecido,Línea de Crédito,Mensual
55,39295,29878,0,1,1588.0,0,0.0,1,1588.0,0,0.0,1,1588.0,0,0.0,1,1588.0,0,0.0,1,1588.0,0,0.0,2,1588.0,1,628351.75,2,1588.0,0,0.0,3,1588.0,1,240800.0,2446,20.0,TIENDAS,Pagos Fijos,Grupo Solidario,Quincenal
56,4295,15832,0,10,30310.0,0,0.0,10,30310.0,0,0.0,10,30310.0,0,0.0,10,30310.0,0,0.0,14,31476.0,6,1529121.4375,14,31476.0,2,576452160.0,22,25114.0,2,4002774.75,54,15666.0,2,1076757.0,5015,53.0,FINANCIERA,Pagos Fijos,Préstamo Personal ,Semanal
57,16583,72029,1,5,192067.0,0,0.0,5,192067.0,0,0.0,5,192067.0,0,0.0,5,192067.0,0,0.0,5,192067.0,0,0.0,5,192067.0,0,0.0,5,192067.0,0,0.0,3,26793.0,0,0.0,1516,36.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
58,6257,21905,1,9,161562.0,0,0.0,9,161562.0,0,0.0,9,161562.0,0,0.0,10,161562.0,0,0.0,9,161562.0,0,0.0,9,161562.0,0,0.0,9,161562.0,0,0.0,10,161562.0,0,0.0,4080,60.0,BANCO,Revolvente,Línea de Crédito,Mensual
59,1276,23305,1,2,10744.0,0,0.0,2,10744.0,0,0.0,2,10744.0,0,0.0,2,10744.0,0,0.0,4,10744.0,0,0.0,5,10744.0,0,0.0,5,0.0,0,0.0,8,0.0,1,10283.0,3778,16.0,BANCO,Pagos Fijos,Préstamo Personal ,Semanal
60,2783,3203,1,2,158345.0,0,0.0,2,158345.0,0,0.0,2,158345.0,0,0.0,2,158345.0,0,0.0,2,158345.0,0,0.0,2,158345.0,0,0.0,2,158345.0,0,0.0,1,13341.0,0,0.0,773,60.0,FINANCIERA,Pagos Fijos,Préstamo Personal ,Quincenal
61,7882,1033,0,8,65937.0,0,0.0,8,65937.0,0,0.0,8,65937.0,0,0.0,8,65937.0,0,0.0,8,65937.0,0,0.0,8,65937.0,1,156240.0,8,63518.0,0,0.0,7,37297.0,2,4616090.375,5529,53.0,TIENDAS,Pagos Fijos,Aparatos - Muebles,Mensual
62,14013,42973,1,8,379958.0,0,0.0,8,379958.0,0,0.0,8,379958.0,0,0.0,8,379958.0,0,0.0,8,379958.0,0,0.0,8,364704.0,0,0.0,6,20405.0,0,0.0,5,20405.0,0,0.0,4141,48.0,BANCO,Pagos Fijos,Línea de Crédito,Mensual
63,750,37,0,5,28167.0,0,0.0,5,28167.0,0,0.0,5,28167.0,0,0.0,5,28167.0,0,0.0,7,28167.0,1,9187315.875,5,28167.0,3,4940949.8125,4,19849.0,0,0.0,8,192314.0,1,68242244.6875,3231,72.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
64,157186,135976,1,7,402449.0,0,0.0,7,402449.0,0,0.0,7,402449.0,0,0.0,7,402449.0,0,0.0,7,402449.0,0,0.0,4,53116.0,0,0.0,4,51927.0,0,0.0,2,0.0,0,0.0,3552,36.0,BANCO,Sin Límite Preestablecido,Tarjeta de Crédito,Mensual
65,195298,27108,0,5,56527.0,0,0.0,5,56527.0,0,0.0,5,56527.0,0,0.0,5,56527.0,0,0.0,8,56527.0,0,0.0,9,56527.0,0,0.0,8,850.0,0,0.0,8,850.0,2,2295383.1875,12119,48.0,SERVICIOS,Sin Límite Preestablecido,Línea de Crédito,Mensual
66,5408,7589,0,8,28365.0,0,0.0,8,28365.0,0,0.0,8,28365.0,0,0.0,8,28365.0,0,0.0,10,28365.0,0,0.0,10,28365.0,0,0.0,10,28365.0,1,955767.9375,12,28365.0,2,272433.0,2306,47.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
67,6302,17323,1,7,98832.0,0,0.0,7,98832.0,0,0.0,7,98832.0,0,0.0,7,98832.0,0,0.0,7,98832.0,0,0.0,9,98832.0,0,0.0,9,98832.0,0,0.0,10,64252.0,0,0.0,2244,120.0,BANCO,Revolvente,Línea de Crédito,Mensual
68,13837,7927,0,8,46327.0,0,0.0,8,46327.0,0,0.0,8,46327.0,0,0.0,8,46327.0,0,0.0,9,46327.0,0,0.0,11,29947.0,1,381047.0625,12,29947.0,1,349776.0,16,26059.0,4,3254209.4375,1988,102.0,TIENDAS,Pagos Fijos,Línea de Crédito,Mensual
69,5731,1132,0,9,49075.0,0,0.0,9,49075.0,0,0.0,9,49075.0,0,0.0,9,49075.0,0,0.0,32,49075.0,3,20632.0,11,0.0,0,0.0,2,0.0,0,0.0,2,0.0,1,2107.0,6113,65.0,FINANCIERA,Pagos Fijos,Préstamo Personal ,Una sola exhibición
70,107180,134306,1,7,74921.0,0,0.0,7,74921.0,0,0.0,8,74921.0,0,0.0,8,74921.0,0,0.0,8,74921.0,0,0.0,4,2293.0,0,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1555,24.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
71,6069,3358,0,8,261421.0,0,0.0,8,261421.0,0,0.0,8,261421.0,0,0.0,8,261421.0,0,0.0,8,261421.0,0,0.0,8,261421.0,0,0.0,8,261421.0,0,0.0,13,261421.0,2,67267666.375,2613,132.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
72,137221,115782,1,8,522247.0,0,0.0,8,522247.0,0,0.0,8,522247.0,0,0.0,8,522247.0,0,0.0,8,522247.0,0,0.0,9,522247.0,0,0.0,8,275013.0,0,0.0,10,274383.0,0,0.0,1850,119.0,BANCO,Pagos Fijos,Préstamo Personal ,Quincenal
73,333,1576,1,8,298854.0,0,0.0,8,298854.0,0,0.0,8,298854.0,0,0.0,8,298854.0,0,0.0,13,298854.0,2,19328.3125,14,283624.0,2,38970.0,4,261593.0,0,0.0,5,261593.0,1,18750.0,3610,360.0,FINANCIERA,Pagos Fijos,Préstamo Personal ,Mensual
74,79565,28381,0,7,36678.0,0,0.0,7,36678.0,0,0.0,7,36678.0,0,0.0,8,36678.0,1,2968.0,9,30315.0,1,15617.0,7,19188.0,1,10374.0,7,19188.0,1,68340.0,9,19188.0,3,2531648.0,2476,80.0,BANCO,Pagos Fijos,Préstamo Personal ,Semanal
75,4261,6558,0,3,37870.0,0,0.0,3,37870.0,0,0.0,3,37870.0,0,0.0,3,37870.0,1,3942661905.0,3,37870.0,0,0.0,3,37870.0,0,0.0,3,37870.0,0,0.0,6,37870.0,0,0.0,2314,1.0,TIENDAS,Pagos Fijos,Aparatos - Muebles,Mensual
76,7835,12396,0,13,131122.0,0,0.0,13,131122.0,0,0.0,13,131122.0,0,0.0,13,131122.0,2,2499.0,16,131122.0,2,121373.0,16,96850.0,0,0.0,13,42842.0,1,165793.0625,10,32393.0,0,0.0,3683,100.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
77,2659,27854,1,4,191213.0,0,0.0,4,191213.0,0,0.0,6,191213.0,0,0.0,7,191213.0,0,0.0,7,191213.0,0,0.0,7,48439.0,0,0.0,8,48439.0,0,0.0,6,48250.0,0,0.0,3053,24.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
78,2745,8552,0,3,25665.0,0,0.0,3,25665.0,0,0.0,3,25665.0,1,3037320.0,3,25665.0,2,1684046.0,3,25665.0,0,0.0,4,39207.0,0,0.0,6,39207.0,0,0.0,6,39207.0,0,0.0,882,72.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
79,9023,4177,0,10,40790.0,0,0.0,10,40790.0,0,0.0,10,40790.0,0,0.0,10,40790.0,0,0.0,11,40790.0,0,0.0,11,40790.0,0,0.0,12,40790.0,0,0.0,11,26242.0,2,14719940.25,3501,72.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
80,87,34957,0,10,37514.0,0,0.0,10,37514.0,0,0.0,10,37514.0,0,0.0,10,37514.0,0,0.0,16,37514.0,0,0.0,13,10446.0,1,796950.0,13,10446.0,0,0.0,18,10446.0,1,7680.0,3833,60.0,FINANCIERA,Pagos Fijos,Línea de Crédito,Mensual
81,266402,173202,1,24,1564633.0,0,0.0,25,1564633.0,0,0.0,25,1564633.0,0,0.0,28,1564633.0,0,0.0,25,1219652.0,0,0.0,22,1219353.0,0,0.0,16,1124376.0,0,0.0,23,616645.0,0,0.0,3341,1000.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
82,14682,17600,0,6,68245.0,0,0.0,6,68245.0,0,0.0,6,68245.0,0,0.0,9,68245.0,0,0.0,7,64189.0,0,0.0,5,49339.0,0,0.0,4,30859.0,0,0.0,15,30859.0,4,13403914.0625,7001,36.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
83,4608,21725,1,6,336723.0,0,0.0,6,336723.0,0,0.0,6,336723.0,0,0.0,6,336723.0,0,0.0,6,336723.0,0,0.0,6,336723.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,588,72.0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,Mensual
84,178,387,0,2,11080.0,0,0.0,2,11080.0,0,0.0,2,11080.0,0,0.0,2,11080.0,0,0.0,2,11080.0,0,0.0,2,11080.0,0,0.0,3,11080.0,1,273937.5,3,11080.0,1,4384217.5,4761,1.0,SERVICIOS,Sin Límite Preestablecido,Línea de Crédito,Mensual
85,810010,972279,1,2,600.0,0,0.0,2,600.0,0,0.0,2,600.0,0,0.0,2,600.0,0,0.0,3,600.0,0,0.0,4,600.0,0,0.0,4,600.0,0,0.0,15,600.0,3,2601056.1875,4015,18.0,BANCO,Pagos Fijos,Préstamo Personal ,Mensual
